id,xcoord(long),ycoord(lat),sampling date,sensing date,B2,B3,B4,B5,B6,B7,B8A,B11,B12,NDVI,BSI,EVI,AVI,SAVI,NDMI,C,S,SWHC,Sand (%),Silt (%),Clay (%),SOC
76,127.492623,37.19835777,2022/10/15,2022-9-24,2194,2823,3541,3847,4035,4178,4396,5455,4296,0.107723321,0.154369306,0.232640401,-2369.603523,0.153820608,-0.107501776,,,,,,,0.74 
77,127.4923922,37.19881469,2022/10/15,2022-9-24,2323,2942,3676,4113,4424,4586,4700,5925,4688,0.122254059,0.155076997,0.274251433,-2605.463855,0.174569876,-0.115294118,,,,,,,0.73 
78,127.4929809,37.19876169,2022/10/15,2022-9-24,2358,3014,3806,4206,4399,4623,4694,5950,4687,0.104470588,0.160875773,0.225472273,-2512.485539,0.149176489,-0.118000752,,,,,,,0.04 
79,127.4934023,37.19898994,2022/10/15,2022-9-24,2535,3259,4072,4472,4648,4858,4926,6137,4778,0.09490998,0.155517827,0.206349973,-2577.613475,0.135525005,-0.109463979,,,,,,,0.32 
80,127.4937298,37.19930977,2022/10/15,2022-9-24,2495,3144,3907,4280,4564,4780,4769,5966,4596,0.099354541,0.152243683,0.226854045,-2522.835552,0.141871286,-0.111504425,,,,,,,0.62 
81,127.4945285,37.19922477,2022/10/15,2022-9-24,2565,3276,3964,4242,4750,4838,5012,5846,4723,0.116755793,0.128429286,0.274072912,-2750.840897,0.166719323,-0.076809726,,,,,,,0.38 
82,127.4952055,37.19881011,2022/10/15,2022-9-24,2618,3295,4021,4417,4643,4798,4902,6300,5043,0.09873361,0.156997926,0.234458165,-2589.355954,0.140984832,-0.124799143,,,,,,,0.58 
83,127.4958015,37.19808189,2022/10/15,2022-9-24,2786,3622,4448,4884,5074,5191,5263,6747,5192,0.083925445,0.163479526,0.184272407,-2671.89489,0.119840254,-0.123563697,,,,,,,0.23 
84,127.4955048,37.19754543,2022/10/15,2022-9-24,2577,3355,4230,4619,4872,4999,5060,6378,4821,0.08934338,0.162839134,0.186709857,-2609.088225,0.127576469,-0.115229935,,,,,,,0.18 
85,127.4946166,37.19732311,2022/10/15,2022-9-24,2430,3040,3713,4233,4414,4566,4820,5961,4863,0.12973163,0.143228551,0.311866126,-2705.62462,0.185247476,-0.105834338,,,,,,,0.68 
86,127.4941847,37.19765634,2022/10/15,2022-9-24,2595,3280,4009,4416,4601,4695,4896,6167,4632,0.099606962,0.151978265,0.233703957,-2591.577778,0.142231906,-0.114887463,,,,,,,0.21 
87,127.493451,37.19752011,2022/10/15,2022-9-24,2298,2899,3571,3913,4277,4474,4610,5508,4443,0.127001589,0.135797836,0.295103386,-2576.290881,0.181348782,-0.088752718,,,,,,,0.87 
88,127.3692737,37.22355058,2022/10/16,2022-9-24,1861,2309,2833,3156,3307,3465,3622,4432,3843,0.122230829,0.139786633,0.296015607,-2007.734273,0.174534051,-0.100571145,,,,,,,2.61 
89,127.3691897,37.22400529,2022/10/16,2022-9-24,1799,2241,2754,3021,3241,3387,3710,4300,3747,0.14789604,0.12298018,0.354467927,-2137.368171,0.211181562,-0.073657928,,,,,,,2.37 
90,127.3686767,37.22373658,2022/10/16,2022-9-24,1807,2217,2735,3043,3158,3345,3633,4214,3699,0.141017588,0.121801598,0.345836864,-2073.863087,0.201359582,-0.074041035,,,,,,,3.68 
91,127.368929,37.22405871,2022/10/16,2022-9-24,1847,2259,2806,3105,3303,3439,3690,4349,3790,0.136083744,0.127481878,0.331110945,-2091.560825,0.194314783,-0.08197537,,,,,,,3.22 
92,127.3680074,37.22394158,2022/10/16,2022-9-24,1895,2369,2891,3165,3277,3394,3603,4378,3873,0.109639667,0.138717005,0.26419295,-1949.907604,0.156555127,-0.097105626,,,,,,,3.30 
93,127.3677431,37.22464125,2022/10/16,2022-9-24,1891,2344,2834,3052,3162,3352,3576,3887,3244,0.11575663,0.102888087,0.289911698,-1958.916826,0.165289432,-0.04167225,,,,,,,2.51 
1,127.4844862,37.1540762,2022-7-26,2022-10-19,1640,2002,2397,2781,3036,3232,3188,3986,3095,0.141629364,0.138703059,0.375166003,-1821.351929,0.202231235,-0.111235015,,,0.7,68,30.5,1.6,0.71 
2,127.4852446,37.1545173,2022-7-26,2022-10-19,2092,2660,3223,3537,3746,3870,4026,4894,4060,0.1107739,0.140428521,0.261563518,-2183.927837,0.15817579,-0.097309417,,,0.75,75.2,23.6,1.2,0.86 
3,127.4861837,37.1552674,2022-7-26,2022-10-19,2021,2608,3308,3639,3716,3921,3992,5077,3987,0.09369863,0.164745103,0.196925203,-2082.381402,0.133793799,-0.119638328,,,0.8,63.8,33.5,2.7,0.87 
4,127.4828685,37.1539711,2022-7-26,2022-10-19,2167,2741,3361,3570,3739,3890,3921,4994,4043,0.07690195,0.15696185,0.178673984,-1946.740432,0.109809531,-0.120358946,,,1,77.8,17.6,4.7,1.00 
6,127.489336,37.1402543,2022-7-26,2022-10-19,2365,2894,3555,3695,3960,4118,4291,5450,4175,0.093805761,0.149990422,0.233369269,-2238.985344,0.13394732,-0.118981624,,,0.7,68,30.3,1.7,1.07 
11,127.5096228,37.14043306,2022-8-27,2022-10-19,2519,3209,3717,4432,4708,4845,4978,5634,4519,0.145025877,0.110042735,0.375812124,-2857.252105,0.207086759,-0.061816811,22,42,0.523809524,,,,1.00
12,127.5100907,37.14023002,2022-8-27,2022-10-19,2426,2997,3544,3990,4288,4346,4472,5231,4178,0.115768463,0.119760097,0.307610713,-2449.85459,0.165308539,-0.07822323,38,46,0.826086957,,,,1.54
13,127.5115348,37.13953628,2022-8-27,2022-10-19,2166,2706,3350,3554,3736,3818,3952,4798,3755,0.082443166,0.142296369,0.192751025,-1997.297959,0.117721941,-0.096685714,16,37,0.432432432,,,,0.90
14,127.5135122,37.13302932,2022-8-27,2022-10-19,2357,2975,3666,3891,4077,4144,4179,5415,3828,0.065391969,0.162963437,0.150908984,-1988.022239,0.093374638,-0.128830519,16,40,0.4,,,,1.46
17,127.5366973,37.11976759,2022-8-27,2022-10-19,4334,4721,5093,5348,5442,5354,5405,6886,6239,0.029719947,0.103140252,0.225498699,-2047.762391,0.042438354,-0.120494671,12,36,0.333333333,,,,1.01
18,127.5361816,37.12031974,2022-8-27,2022-10-19,2303,2913,3642,3877,4023,4090,4264,5673,4222,0.078674424,0.173026067,0.175815479,-2129.492361,0.112340996,-0.141793298,20,25,0.8,,,,1.28
19,127.5360454,37.1194835,2022-8-27,2022-10-19,2370,2937,3748,3859,4044,4133,4248,5477,4092,0.062531266,0.164552168,0.139477795,-1996.546373,0.089289868,-0.126375321,12,39,0.307692308,,,,1.08
24,127.5249595,37.12756278,2022-8-27,2022-10-19,2191,2761,3528,3736,3873,4066,4067,5126,4116,0.070967742,0.160675966,0.153064122,-1977.376943,0.101336225,-0.115196345,25,35,0.714285714,,,,1.51
25,127.5239128,37.12716028,2022-8-27,2022-10-19,2138,2702,3442,3829,4059,4156,4228,5081,3783,0.102477184,0.144872053,0.222134298,-2252.928449,0.146329253,-0.091631754,18,28,0.642857143,,,,1.26
26,127.524152,37.12687745,2022-8-27,2022-10-19,2160,2718,3463,3710,3796,3894,4027,4670,3390,0.075300401,0.135893855,0.163839182,-1988.516806,0.107522828,-0.07393354,20,30,0.666666667,,,,1.61
27,127.5243353,37.12714944,2022-8-27,2022-10-19,1885,2328,2903,3089,3191,3342,3434,4219,3166,0.083793593,0.144924041,0.197677016,-1742.598784,0.11964917,-0.102574154,15,30,0.5,,,,1.39
35,127.5239773,37.27107962,2022/10/15,2022-10-19,1942,2532,3454,3905,4044,4174,4224,5113,4114,0.100286533,0.162967488,0.185381356,-2239.42783,0.143201186,-0.095212595,,,,,,,1.00 
36,127.5231857,37.27036738,2022/10/15,2022-10-19,2172,2819,3560,4041,4240,4389,4417,5187,4032,0.107433872,0.140714658,0.225811551,-2379.461797,0.153407339,-0.080174927,,,,,,,0.86 
