id,xcoord(long),ycoord(lat),sampling date,sensing date,B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,NDVI,BSI,TVI,EVI,SATVI,SAVI,BI2,AVI,NDMI,SWHC,Sand (%),Silt (%),Clay (%),DSM,SOC
11,127.5096228,37.14043306,2022-8-27,2022-9-24,0.2356,0.2982,0.3600,0.4244,0.4482,0.4632,0.4719,0.4774,0.6116,0.47510,0.116463985,0.15936255,0.785152205,0.263687387,-0.237502744,0.174685764,0.226679558,-0.26187633,-0.123232323,0.523809524,0.653731343,0.346268657,0,0.357592906,1.00
11,127.5096228,37.14043306,2022-8-27,2022-10-19,0.2400,0.3048,0.3502,0.4432,0.4708,0.4845,0.4907,0.4978,0.5634,0.45190,0.145025877,0.110042735,0.80313503,0.375812124,-0.225909003,0.217526307,0.233081421,-0.285725211,-0.061816811,0.523809524,0.653731343,0.346268657,0,0.357592906,1.00
11,127.5096228,37.14043306,2022-8-27,2022-10-24,0.2830,0.3652,0.4038,0.5472,0.5873,0.5999,0.6064,0.6148,0.6991,0.53820,0.151850117,0.110115175,0.807372353,0.398338821,-0.269057219,0.227764508,0.287355069,-0.355967603,-0.064160134,0.523809524,0.653731343,0.346268657,0,0.357592906,1.00
11,127.5096228,37.14043306,2022-8-27,2022-10-29,0.2366,0.2888,0.3622,0.4010,0.4284,0.4454,0.4448,0.4566,0.5809,0.47370,0.121041002,0.14885286,0.788061547,0.303496676,-0.236802524,0.181550359,0.216831314,-0.252575666,-0.119807229,0.523809524,0.653731343,0.346268657,0,0.357592906,1.00
11,127.5096228,37.14043306,2022-8-27,2022-6-11,0.2420,0.3032,0.3876,0.4484,0.4852,0.5071,0.4908,0.5323,0.6147,0.49490,0.140805829,0.131146628,0.800503485,0.30436394,-0.247407901,0.211197428,0.245807906,-0.303780469,-0.071839582,0.523809524,0.653731343,0.346268657,0,0.357592906,1.00
12,127.5100907,37.14023002,2022-8-27,2022-6-1,0.2662,0.3330,0.3952,0.4571,0.4961,0.5140,0.5235,0.5283,0.6174,0.49890,0.114439405,0.128311123,0.783861853,0.271331399,-0.249411901,0.171650055,0.251747133,-0.288679829,-0.077769049,0.826086957,0.543010753,0.456989247,0,0.269737473,1.54
12,127.5100907,37.14023002,2022-8-27,2022-9-24,0.2250,0.2918,0.3526,0.4194,0.4611,0.4735,0.4789,0.4874,0.5925,0.46090,0.121233034,0.142907406,0.788183376,0.276205451,-0.230406803,0.181839094,0.230631192,-0.269706822,-0.097323826,0.826086957,0.543010753,0.456989247,0,0.269737473,1.54
12,127.5100907,37.14023002,2022-8-27,2022-10-19,0.2340,0.2936,0.3556,0.3990,0.4288,0.4346,0.4643,0.4472,0.5231,0.41780,0.115768463,0.119760097,0.784709158,0.307610713,-0.208861554,0.173641864,0.214840326,-0.244985459,-0.07822323,0.826086957,0.543010753,0.456989247,0,0.269737473,1.54
12,127.5100907,37.14023002,2022-8-27,2022-10-24,0.2644,0.3392,0.3952,0.4623,0.4928,0.5124,0.5243,0.5210,0.6164,0.45820,0.131133304,0.12880302,0.794438987,0.319475299,-0.22905747,0.196689281,0.246088349,-0.293105794,-0.083875506,0.826086957,0.543010753,0.456989247,0,0.269737473,1.54
12,127.5100907,37.14023002,2022-8-27,2022-10-29,0.2366,0.2920,0.3530,0.3873,0.4066,0.4180,0.4421,0.4296,0.5518,0.44780,0.09984639,0.150388387,0.774497508,0.257493728,-0.223855683,0.14976,0.20882018,-0.227524447,-0.124515998,0.826086957,0.543010753,0.456989247,0,0.269737473,1.54
12,127.5100907,37.14023002,2022-8-27,2022-6-11,0.2484,0.3030,0.3664,0.4392,0.4822,0.5062,0.5035,0.5212,0.5951,0.47880,0.138364093,0.121868269,0.798976904,0.320662077,-0.239359462,0.207534808,0.242231739,-0.296418958,-0.066200842,0.826086957,0.543010753,0.456989247,0,0.269737473,1.54
13,127.5115348,37.13953628,2022-8-27,2022-6-1,0.2790,0.3556,0.4456,0.4921,0.5308,0.5437,0.5540,0.5578,0.6408,0.52280,0.100197239,0.122193238,0.774723976,0.243563312,-0.261366348,0.150288447,0.27074677,-0.295672384,-0.069247455,0.432432432,0.373239437,0.626760563,0,0.173962088,0.90
13,127.5115348,37.13953628,2022-8-27,2022-9-24,0.2500,0.3214,0.3962,0.4477,0.4617,0.4777,0.4801,0.4852,0.5969,0.45350,0.080623608,0.14640931,0.761986619,0.188032412,-0.226713537,0.120928679,0.240276269,-0.243836066,-0.10322521,0.432432432,0.373239437,0.626760563,0,0.173962088,0.90
13,127.5115348,37.13953628,2022-8-27,2022-10-19,0.2070,0.2562,0.3198,0.3554,0.3736,0.3818,0.4030,0.3952,0.4798,0.37550,0.082443166,0.142296369,0.763179642,0.192751025,-0.187714462,0.123656282,0.194831095,-0.199729796,-0.096685714,0.432432432,0.373239437,0.626760563,0,0.173962088,0.90
13,127.5115348,37.13953628,2022-8-27,2022-10-24,0.2252,0.2904,0.3392,0.4200,0.4436,0.4489,0.4696,0.4578,0.5566,0.40560,0.100745371,0.143313471,0.775077655,0.231325567,-0.202760761,0.151108974,0.222330097,-0.242973228,-0.097397476,0.432432432,0.373239437,0.626760563,0,0.173962088,0.90
13,127.5115348,37.13953628,2022-8-27,2022-10-29,0.2368,0.2954,0.3500,0.4092,0.4201,0.4386,0.4363,0.4417,0.5690,0.45830,0.085658105,0.157583959,0.765283023,0.204867439,-0.229108134,0.128479263,0.217551961,-0.22538696,-0.12595231,0.432432432,0.373239437,0.626760563,0,0.173962088,0.90
13,127.5115348,37.13953628,2022-8-27,2022-6-11,0.2952,0.3766,0.4804,0.5240,0.5721,0.5982,0.5869,0.6013,0.6608,0.54210,0.11828157,0.109546854,0.786308826,0.282729495,-0.271017101,0.177414106,0.286048026,-0.330967655,-0.047143649,0.432432432,0.373239437,0.626760563,0,0.173962088,0.90
14,127.5135122,37.13302932,2022-8-27,2022-6-1,0.3010,0.3812,0.4804,0.5331,0.5557,0.5744,0.5916,0.5903,0.6858,0.50250,0.09284458,0.133191981,0.769964012,0.206863837,-0.251216698,0.139260425,0.287052363,-0.307251293,-0.074837395,0.4,0.360341151,0.575692964,0.063965885,0.341525814,1.46
14,127.5135122,37.13302932,2022-8-27,2022-9-24,0.3010,0.3900,0.4696,0.5113,0.5273,0.5380,0.5499,0.5386,0.6996,0.48730,0.070137095,0.164339848,0.755074232,0.160279695,-0.243610332,0.105200417,0.270333993,-0.26106062,-0.130027459,0.4,0.360341151,0.575692964,0.063965885,0.341525814,1.46
14,127.5135122,37.13302932,2022-8-27,2022-10-19,0.2272,0.2906,0.3610,0.3891,0.4077,0.4144,0.4340,0.4179,0.5415,0.38280,0.065391969,0.162963437,0.751925508,0.150908984,-0.191361484,0.098081703,0.210169831,-0.198802224,-0.128830519,0.4,0.360341151,0.575692964,0.063965885,0.341525814,1.46
14,127.5135122,37.13302932,2022-8-27,2022-10-29,0.2686,0.3408,0.4208,0.4619,0.4733,0.4877,0.5027,0.4872,0.6484,0.48110,0.069828722,0.169731027,0.754870003,0.162884803,-0.240508064,0.104737333,0.24406328,-0.235869944,-0.141951391,0.4,0.360341151,0.575692964,0.063965885,0.341525814,1.46
14,127.5135122,37.13302932,2022-8-27,2022-6-11,0.3420,0.4228,0.5220,0.5663,0.5731,0.5951,0.5926,0.6004,0.7660,0.59840,0.065767285,0.15487042,0.752175036,0.158529802,-0.299162906,0.09864655,0.302408938,-0.286068416,-0.121194379,0.4,0.360341151,0.575692964,0.063965885,0.341525814,1.46
15,127.5370585,37.11810618,2022-8-27,2022-6-1,0.2462,0.2904,0.3496,0.3895,0.4206,0.4352,0.4421,0.4397,0.4942,0.38710,0.107975306,0.102919186,0.779727712,0.311727048,-0.193516946,0.161952756,0.212976937,-0.237140619,-0.058357426,0.5,0.171134021,0.828865979,0,0.12088617,0.81
16,127.5376574,37.11763538,2022-8-27,2022-6-1,0.2310,0.2732,0.3260,0.3731,0.4165,0.4427,0.4247,0.4372,0.4680,0.37490,0.117872667,0.086753108,0.786048769,0.348029594,-0.187419745,0.176797699,0.209875235,-0.240455523,-0.03402563,0.476190476,0.524050633,0.235443038,0.240506329,0.212220853,0.48
17,127.5366973,37.11976759,2022-8-27,2022-6-1,0.4156,0.4768,0.5576,0.6381,0.6370,0.6356,0.6413,0.6447,0.7988,0.70060,0.040090344,0.100165759,0.734908392,0.248475152,-0.350270758,0.060133091,0.343864699,-0.267127957,-0.106754416,0.333333333,0.425531915,0.455319149,0.119148936,0.616113259,1.01
17,127.5366973,37.11976759,2022-8-27,2022-9-24,0.3552,0.3984,0.4588,0.5574,0.5695,0.5585,0.5197,0.5628,0.7213,0.61170,0.044931303,0.10770472,0.738194624,0.298913043,-0.305816516,0.067393827,0.299087538,-0.241067497,-0.123432754,0.333333333,0.425531915,0.455319149,0.119148936,0.616113259,1.01
17,127.5366973,37.11976759,2022-8-27,2022-10-19,0.3206,0.3822,0.4344,0.5348,0.5442,0.5354,0.5100,0.5405,0.6886,0.62390,0.029719947,0.103140252,0.727818622,0.225498699,-0.311920067,0.044577797,0.293334309,-0.204776239,-0.120494671,0.333333333,0.425531915,0.455319149,0.119148936,0.616113259,1.01
17,127.5366973,37.11976759,2022-8-27,2022-10-24,0.3316,0.4164,0.5152,0.6053,0.6064,0.6245,0.6351,0.6290,0.8106,0.63400,0.065289186,0.135747926,0.751857158,0.218537415,-0.316962028,0.097929633,0.320820971,-0.299108604,-0.126146152,0.333333333,0.425531915,0.455319149,0.119148936,0.616113259,1.01
17,127.5366973,37.11976759,2022-8-27,2022-10-29,0.3888,0.4264,0.4688,0.5425,0.5382,0.5442,0.5271,0.5450,0.7181,0.66280,0.0339594,0.107921462,0.730725257,0.323923272,-0.331365961,0.050936685,0.295097583,-0.214961595,-0.137043781,0.333333333,0.425531915,0.455319149,0.119148936,0.616113259,1.01
18,127.5361816,37.12031974,2022-8-27,2022-6-1,0.3602,0.4432,0.5232,0.5670,0.5822,0.6045,0.6107,0.6153,0.7851,0.62620,0.069900887,0.145336226,0.754917801,0.191055558,-0.313062094,0.104846772,0.310285306,-0.297973828,-0.121251071,0.8,0.378109453,0.534825871,0.087064677,0.384084776,1.28
18,127.5361816,37.12031974,2022-8-27,2022-9-24,0.2804,0.3400,0.4074,0.4477,0.4628,0.4790,0.4871,0.4905,0.6638,0.48870,0.086860182,0.166856461,0.766068001,0.222613436,-0.244303216,0.130283055,0.242416148,-0.251160167,-0.150134281,0.8,0.378109453,0.534825871,0.087064677,0.384084776,1.28
18,127.5361816,37.12031974,2022-8-27,2022-10-19,0.2238,0.2860,0.3596,0.3877,0.4023,0.4090,0.4401,0.4264,0.5673,0.42220,0.078674424,0.173026067,0.76070653,0.175815479,-0.211056398,0.118004174,0.210637733,-0.212949236,-0.141793298,0.8,0.378109453,0.534825871,0.087064677,0.384084776,1.28
18,127.5361816,37.12031974,2022-8-27,2022-10-24,0.2788,0.3664,0.4648,0.5018,0.5161,0.5460,0.5730,0.5607,0.7732,0.55520,0.098550157,0.191824507,0.773660233,0.20049426,-0.27754923,0.147817995,0.269927667,-0.296047994,-0.159307294,0.8,0.378109453,0.534825871,0.087064677,0.384084776,1.28
18,127.5361816,37.12031974,2022-8-27,2022-10-29,0.2712,0.3348,0.4084,0.4362,0.4409,0.4640,0.4839,0.4724,0.6612,0.50320,0.075224764,0.178516229,0.758435735,0.189387428,-0.251552248,0.112830725,0.235654514,-0.233211747,-0.166549047,0.8,0.378109453,0.534825871,0.087064677,0.384084776,1.28
18,127.5361816,37.12031974,2022-8-27,2022-6-11,0.3402,0.4240,0.4976,0.5545,0.5865,0.6100,0.5987,0.6174,0.7724,0.60650,0.10141825,0.13567392,0.775511605,0.28822754,-0.303207891,0.15212059,0.302795657,-0.328199265,-0.111526838,0.8,0.378109453,0.534825871,0.087064677,0.384084776,1.28
