id,xcoord,ycoord,BSI_211024,B03_Green_,B02_Blue_4,B12_SWIR_2,B11_SWIR_1,B8A_VRE_86,B07_VRE_78,B06_VRE_74,B05_VRE_75,B04_Red_66
2855280,361667.472,4111452.587,0.2035,736,568,2012,2966,2070,1747,1521,1239,1020
3067505,372807.472,4109592.587,0.15702,1863,1260,2362,3703,3212,3205,3009,2844,2435
2855282,361707.472,4111452.587,0.20449,773,594,2115,3094,2170,1885,1602,1348,1091
3754380,363267.472,4103552.587,0.284,1199,869,2951,3540,2000,1936,1828,1727,1605
2855281,361687.472,4111452.587,0.20775,718,550,2078,3061,2129,1746,1515,1250,1023
3754379,363247.472,4103552.587,0.26587,1226,875,2981,3564,2121,1984,1860,1764,1602
2689618,371387.472,4112912.587,0.25179,1102,834,3082,3964,2457,2093,1909,1732,1542
3754382,363307.472,4103552.587,0.26427,1205,897,3113,3592,2107,1970,1840,1742,1570
29170,375307.472,4136292.587,0.20337,1651,1122,2615,3784,2850,2824,2680,2566,2216
2689617,371367.472,4112912.587,0.25826,1096,841,3112,3979,2390,2053,1908,1728,1502
3754381,363287.472,4103552.587,0.2735,1189,879,3046,3554,2035,1941,1811,1689,1554
29169,375287.472,4136292.587,0.20352,1643,1093,2562,3810,2885,2837,2737,2610,2201
1913592,373187.472,4119732.587,0.19731,1894,1344,3110,4193,3190,3072,2926,2793,2570
1913591,373167.472,4119732.587,0.20297,1934,1355,3110,4254,3161,3110,2945,2839,2562
147614,377147.472,4135252.587,0.16459,2417,1713,3388,4569,3723,3671,3520,3441,3009
147613,377127.472,4135252.587,0.18169,2239,1559,3386,4468,3526,3494,3371,3248,2875
47386,375467.472,4136132.587,0.18946,1732,1179,3194,4152,3097,2939,2851,2587,2123
2170204,361667.472,4117472.587,0.21489,1708,1157,3193,4162,3094,2977,2904,2663,2416
3067502,372747.472,4109592.587,0.15595,2064,1414,2517,3985,3422,3430,3353,3142,2638
2170203,361647.472,4117472.587,0.21584,1647,1146,3084,3998,2963,2916,2752,2598,2373
2853214,365867.472,4111472.587,0.22365,2207,1597,4083,5574,3799,3608,3445,3360,2931
6574,378587.472,4136492.587,0.23,1838,1282,3230,4161,2814,2909,2827,2623,2382
2853213,365847.472,4111472.587,0.21623,2166,1551,3974,5301,3714,3655,3432,3201,2869
2170202,361627.472,4117472.587,0.21194,1605,1082,3007,3904,2932,2965,2703,2554,2269
2871938,376187.472,4111312.587,0.22316,1567,987,3254,4207,3185,3218,3064,2807,2362
2147624,365267.472,4117672.587,0.2382,1555,1058,3060,4147,2791,2662,2484,2312,2109
2671123,365647.472,4113072.587,0.24429,1531,1052,2939,4206,2756,2688,2490,2434,2064
2147623,365247.472,4117672.587,0.22873,1706,1216,3233,4378,2977,2858,2686,2557,2302
3226465,365607.472,4108192.587,0.19329,1107,809,2203,3065,2292,2018,1830,1732,1522
4675218,344427.472,4095452.587,0.21467,2057,1415,4195,5165,3683,3539,3378,3134,2720
2147626,365307.472,4117672.587,0.23412,1430,970,2673,3824,2666,2579,2442,2301,2035
4675217,344407.472,4095452.587,0.22385,2086,1390,4273,5245,3686,3585,3408,3251,2759
2147625,365287.472,4117672.587,0.24109,1378,923,2654,3841,2634,2486,2306,2227,1976
2671120,365587.472,4113072.587,0.24025,1982,1361,3649,4933,3335,3304,3189,3071,2733
2671119,365567.472,4113072.587,0.23321,2013,1386,3600,4780,3311,3234,3042,3024,2774
2671122,365627.472,4113072.587,0.228,2192,1468,3978,5117,3665,3627,3477,3321,3048
2671121,365607.472,4113072.587,0.24284,2094,1382,3821,5135,3499,3414,3340,3177,2877
2687548,375507.472,4112932.587,0.25323,1986,1418,3971,5108,3175,3158,2994,2856,2600
2907980,368707.472,4110992.587,0.22006,2101,1491,3403,4951,3485,3364,3275,3118,2833
2667016,374547.472,4113112.587,0.18995,1644,1116,2211,3485,2786,2698,2591,2397,2247
302702,383547.472,4133892.587,0.20355,1750,1149,2637,3648,2893,2815,2723,2652,2460
2907979,368687.472,4110992.587,0.21968,2109,1496,3495,5033,3539,3368,3256,3110,2837
3226460,365507.472,4108192.587,0.12887,1102,782,1842,2706,2422,2112,1975,1722,1446
2667015,374527.472,4113112.587,0.21125,1443,983,2230,3455,2579,2559,2389,2234,2015
2687549,375527.472,4112932.587,0.23243,2002,1452,3767,4935,3216,3079,2885,2813,2560
302701,383527.472,4133892.587,0.19832,1767,1181,2659,3675,2914,2893,2772,2692,2446
2667018,374587.472,4113112.587,0.19127,1422,963,1858,3097,2464,2381,2284,2142,1951
2667017,374567.472,4113112.587,0.20064,1428,929,2038,3288,2571,2501,2332,2230,1969
2907976,368627.472,4110992.587,0.23087,2001,1398,3563,5003,3471,3360,3240,3035,2789
3226461,365527.472,4108192.587,0.13626,1129,830,1911,2784,2460,2260,2069,1840,1544
2907978,368667.472,4110992.587,0.21728,2153,1550,3526,5059,3560,3404,3242,3145,2888
2671116,365507.472,4113072.587,0.24676,2101,1409,3919,5193,3466,3437,3356,3184,2876
2907977,368647.472,4110992.587,0.22912,2008,1425,3571,4998,3435,3320,3169,3054,2751
